4975 | 3.29 | 50.10 | 164.00
5078 | 3.29 | 50.70 | 168.00
5181 | 3.29 | 51.20 | 170.00
5284 | 3.29 | 50.40 | 168.00
5387 | 3.29 | 50.60 | 168.00
5490 | 3.28 | 70.60 | 230.00
5593 | 3.28 | 72.10 | 236.00
5696 | 3.28 | 70.70 | 232.00
5799 | 3.28 | 70.30 | 232.00
5902 | 3.28 | 71.90 | 236.00
6005 | 3.28 | 70.90 | 232.00
6108 | 3.28 | 70.10 | 230.00
6211 | 3.28 | 70.60 | 232.00
6314 | 3.28 | 72.30 | 232.00
6417 | 3.28 | 70.30 | 232.00
6520 | 3.29 | 71.60 | 236.00
6623 | 3.28 | 72.80 | 236.00
6726 | 3.29 | 70.20 | 230.00
6829 | 3.28 | 70.50 | 232.00
6932 | 3.28 | 71.40 | 236.00
7035 | 3.29 | 70.40 | 232.00
7138 | 3.28 | 71.10 | 232.00
7241 | 3.28 | 71.20 | 236.00
7344 | 3.28 | 70.30 | 230.00
7447 | 3.29 | 70.70 | 232.00
7550 | 3.29 | 70.20 | 232.00
7653 | 3.28 | 71.80 | 236.00
7756 | 3.28 | 70.50 | 232.00
7859 | 3.29 | 70.70 | 232.00
7962 | 3.28 | 72.60 | 240.00
8065 | 3.28 | 70.50 | 232.00
8168 | 3.28 | 70.30 | 230.00
8271 | 3.29 | 71.00 | 232.00
8374 | 3.28 | 71.40 | 232.00
8477 | 3.28 | 70.20 | 230.00
8580 | 3.28 | 71.40 | 236.00
8683 | 3.28 | 71.80 | 232.00
8786 | 3.29 | 70.30 | 230.00
8889 | 3.28 | 70.60 | 232.00
8992 | 3.28 | 71.60 | 236.00
9095 | 3.28 | 70.20 | 230.00
9198 | 3.28 | 71.10 | 232.00
9301 | 3.28 | 71.40 | 236.00
9404 | 3.28 | 70.50 | 232.00
9507 | 3.28 | 70.90 | 232.00
9610 | 3.28 | 70.70 | 232.00
9713 | 3.28 | 71.00 | 232.00
9816 | 3.28 | 70.60 | 232.00
9919 | 3.28 | 70.90 | 236.00
10022 | 3.28 | 72.10 | 236.00
10125 | 3.28 | 70.90 | 230.00
10228 | 3.29 | 70.20 | 230.00
10331 | 3.28 | 72.40 | 240.00
10434 | 3.27 | 126.60 | 412.00
10537 | 3.29 | 50.20 | 164.00
10640 | 3.29 | 51.50 | 170.00
10743 | 3.29 | 49.90 | 164.00
10846 | 3.29 | 50.20 | 164.00
10949 | 3.29 | 50.80 | 168.00
11052 | 3.29 | 51.60 | 164.00
11155 | 3.29 | 50.50 | 168.00
